Group 1,Group 2,Test Statistic,p-value,Permutations,p-value (adjusted),Significant (Î±=0.05)
no_Q1,yes_Q1,37.593351276938996,0.001,999,0.028,True
no_Q1,no_Q3,141.64682776311966,0.001,999,0.028,True
no_Q1,no_Q2,19.466144763432748,0.001,999,0.028,True
no_Q1,yes_Q2,16.540495014042122,0.001,999,0.028,True
no_Q1,no_Q0,36.24817548011449,0.001,999,0.028,True
no_Q1,yes_Q0,163.60561504202022,0.001,999,0.028,True
no_Q1,yes_Q3,1.3483277489023673,0.248,999,6.944,False
yes_Q1,no_Q3,346.3562846850588,0.001,999,0.028,True
yes_Q1,no_Q2,117.68042989381713,0.001,999,0.028,True
yes_Q1,yes_Q2,1.7428118799924381,0.179,999,5.012,False
yes_Q1,no_Q0,0.819651799609971,0.375,999,10.5,False
yes_Q1,yes_Q0,48.45979201273406,0.001,999,0.028,True
yes_Q1,yes_Q3,12.773119133088594,0.001,999,0.028,True
no_Q3,no_Q2,62.157952700502854,0.001,999,0.028,True
no_Q3,yes_Q2,221.2529543013996,0.001,999,0.028,True
no_Q3,no_Q0,284.71819305676934,0.001,999,0.028,True
no_Q3,yes_Q0,687.6684349321911,0.001,999,0.028,True
no_Q3,yes_Q3,108.1691237325476,0.001,999,0.028,True
no_Q2,yes_Q2,65.57794573466893,0.001,999,0.028,True
no_Q2,no_Q0,103.7905622320101,0.001,999,0.028,True
no_Q2,yes_Q0,317.77631403855,0.001,999,0.028,True
no_Q2,yes_Q3,21.500252381177784,0.001,999,0.028,True
yes_Q2,no_Q0,3.115131825163763,0.076,999,2.128,False
yes_Q2,yes_Q0,56.40642351350669,0.001,999,0.028,True
yes_Q2,yes_Q3,4.578714045798042,0.031,999,0.868,False
no_Q0,yes_Q0,26.800835956345352,0.001,999,0.028,True
no_Q0,yes_Q3,13.511569075556114,0.001,999,0.028,True
yes_Q0,yes_Q3,73.88644866514038,0.001,999,0.028,True
